year,CountryPair,agree,IdealPointAll.x,IdealPointAll.y,IdealPointDistance
1946.0,"('Australia', 'India')",0.583333333333333,0.83731735,0.83731735,1.4114113
1946.0,"('Australia', 'Philippines')",0.725,1.3635145,1.3635145,0.359017
1946.0,"('Australia', 'Saudi Arabia')",0.621951219512195,1.295013,1.295013,0.49602
1946.0,"('Australia', 'Taiwan')",0.654761904761905,1.2299409,1.2299409,0.6261642
1946.0,"('Australia', 'United States of America')",0.738095238095238,1.6096865,1.6096865,0.133327
1946.0,"('India', 'Philippines')",0.7125,0.6578088499999999,0.6578088499999999,1.0523943
1946.0,"('India', 'Saudi Arabia')",0.585365853658537,0.5893073499999999,0.5893073499999999,0.9153913
1946.0,"('India', 'Taiwan')",0.738095238095238,0.52423525,0.52423525,0.7852471
1946.0,"('India', 'United States of America')",0.654761904761905,0.90398085,0.90398085,1.5447383
1946.0,"('Philippines', 'Saudi Arabia')",0.782051282051282,1.1155045,1.1155045,0.137003
1946.0,"('Philippines', 'Taiwan')",0.8125,1.0504324,1.0504324,0.2671472
1946.0,"('Philippines', 'United States of America')",0.75,1.430178,1.430178,0.492344
1946.0,"('Saudi Arabia', 'Taiwan')",0.682926829268293,0.9819308999999999,0.9819308999999999,0.1301442
1946.0,"('Saudi Arabia', 'United States of America')",0.573170731707317,1.3616765,1.3616765,0.629347
1946.0,"('Taiwan', 'United States of America')",0.726190476190476,1.2966044,1.2966044,0.7594912
1947.0,"('Australia', 'India')",0.364864864864865,0.8285755499999999,0.8285755499999999,2.4661189
1947.0,"('Australia', 'Philippines')",0.617647058823529,1.32182815,1.32182815,1.4796137
1947.0,"('Australia', 'Saudi Arabia')",0.28125,1.141397,1.141397,1.840476
1947.0,"('Australia', 'Taiwan')",0.618421052631579,1.32713395,1.32713395,1.4690021
1947.0,"('Australia', 'Thailand')",0.5,1.26809485,1.26809485,1.5870803
1947.0,"('Australia', 'United States of America')",0.855263157894737,2.018401,2.018401,0.086468
1947.0,"('India', 'Philippines')",0.606060606060606,0.08876869999999998,0.08876869999999998,0.9865052
1947.0,"('India', 'Saudi Arabia')",0.661290322580645,-0.09166245,-0.09166245,0.6256429
1947.0,"('India', 'Taiwan')",0.675675675675676,0.0940745,0.0940745,0.9971168
1947.0,"('India', 'Thailand')",0.764705882352941,0.035035399999999994,0.035035399999999994,0.8790386
1947.0,"('India', 'United States of America')",0.378378378378378,0.7853415499999999,0.7853415499999999,2.3796509
1947.0,"('Philippines', 'Saudi Arabia')",0.660714285714286,0.40159015,0.40159015,0.3608623
1947.0,"('Philippines', 'Taiwan')",0.852941176470588,0.5873271,0.5873271,0.0106116000000001
1947.0,"('Philippines', 'Thailand')",0.821428571428571,0.528288,0.528288,0.1074666
1947.0,"('Philippines', 'United States of America')",0.720588235294118,1.27859415,1.27859415,1.3931457
1947.0,"('Saudi Arabia', 'Taiwan')",0.640625,0.40689595,0.40689595,0.3714739
1947.0,"('Saudi Arabia', 'Thailand')",0.676470588235294,0.34785685,0.34785685,0.2533957
1947.0,"('Saudi Arabia', 'United States of America')",0.421875,1.098163,1.098163,1.754008
1947.0,"('Taiwan', 'Thailand')",0.823529411764706,0.5335938,0.5335938,0.1180782
1947.0,"('Taiwan', 'United States of America')",0.684210526315789,1.28389995,1.28389995,1.3825341
1947.0,"('Thailand', 'United States of America')",0.588235294117647,1.22486085,1.22486085,1.5006123
1948.0,"('Australia', 'India')",0.67,0.72945005,0.72945005,1.2379899
1948.0,"('Australia', 'Philippines')",0.718446601941748,0.89779705,0.89779705,0.9012959
1948.0,"('Australia', 'Saudi Arabia')",0.54639175257732,0.7972218999999999,0.7972218999999999,1.1024462
1948.0,"('Australia', 'Taiwan')",0.684466019417476,1.01276185,1.01276185,0.6713663
